Date,MSFT,KO,XOM,IBM,CVX,AAPL,UTX,PG,CAT,WBA,BA,PFE,JNJ,MMM,MRK,DIS,MCD,JPM,WMT,NKE,AXP,INTC,TRV,VZ,HD,C,CSCO,GS,V,UNH
20150318,348660862.5,177269506.4,361036968.3,157960039.44,200615206,748305375.56,109140058.67,226167712.5,49299562.11,95266991.16,109694343.24,210710034.9,282108413.94,105666832.5,163621826.45,183501817.11,93228543,230223327.75,266009870.7,66929011.31,83429665.5,146295040,35196332.88,205858912.32,152973358.16,162978475.72,143698402.85,83778635.07621,131415803.44962,114405252.2
20150319,346897048.725,174737084.88,354073782.9,157960039.44,196948855,742626246.26,108296402.66,225168523.8,48547915.03,95463688.32,108553234.68,209300398.25,282747926.41,105152685,165211214.53,182482079.31,92248201.62,228172755.6,262754448.8,67484979.92,83103529.5,145584640,35064571.59,204861614.4,151760957.32,158913115.38,144259924.14,82754921.37,131204684.88,115168208.2
20150320,351778300.8,177487818.6,354619092.6,160994501.12,201235665.4,733335773.2,108368975.22,228841217.4,49214698.73,96414391.26,108827946,209913283.75,284722073.6,105679533.8475,166261345.94,184283616.09,93276598.95,230223327.75,268298335.6,69997134.38,84285772.5,148284160,35263820.37,205942020.48,154831494.23,160733425.98,145178777.16,84131483.73,132382993.68,113623222.3
20150323,351573206.175,177356831.28,358352366.7,162724243.12,199148665.6,740966193.08,107661392.76,229165278.6,49154082.03,96075635.04,107637530.28,214816367.75,286334757.22,105451017.5,166687074.89,183926707.86,94785555.78,227949056.82,268523958.9,69640216.26,83776185,147956047.2,35228469.78,206274453.12,152960179.89,159216500.48,145000111.295,83621811.51621,131734923.84,113527852.8
20150324,351942376.5,176701894.68,354535198.8,161113112,195914756,737937324.12,107879110.44,226626799.2,48784320.16,96163056,106820433.15612,211568074.6,283498658.44,105571626.3475,166403255.59,182040192.93,95496783.84,225413803.98,267685929.5,69084247.65,82930269.75,146011752.99,35103135.87,205318709.28,153065606.05,157578220.94,142932692,83325584.88,131774200.8,112650453.4
20150325,340128926.1,176614569.8,355961393.4,157357100.8,198678620.6,718657408.24,105647504.22,224169335.1,48408496.62,93846400.56,104411433.24,210219726.5,278994266.26,103273825,165353124.18,178454115,94324218.66,222244737.93,262109810.8,67944855.19,81646109.25,141743790.09,34582518.09,202493031.84,149810573.36,155879264.38,140176132.94,81613598.70621,129083729.04,111143615.3
20150326,338077979.85,176177945.4,353696260.8,158731010.16,197888945,723666691.52,105266498.28,221846896.5,48420619.96,92272823.28,104369169.96,209361686.8,278438168.46,103204002.5,163479916.8,178862010.12,93843659.16,221983756.02,263947029.1,68178224.73,79984854,142644804.48,34331850.27,201204855.36,148084219.99,155302832.69,138287379.51,81565680.39621,128808790.32,110867043.75
20150327,336109071.45,174999059.52,350592190.2,158543199.71576,196065170.4,717900191,106046653.3,222278978.1,48293324.89,93201670.98,104848160.84388,211629363.15,278994266.26,103781625,163905645.75,179269905.24,93190098.24,222021039.15,262206506.5,68555734.28,79465074.75,151744000,34428260.97,201786612.48,150047782.22,154726401,138491569.07,81922885.26,128710597.92,112545546.95
20150330,336027033.6,176876544.44,359191304.7,160786932.08,200991242,736073404.76,107797466.31,223386187.2,49323808.79,93793764.48,107560047.6,214509925,282358657.95,105400237.5,165580179.62,180357625.56,94074327.72,227277960.48,266009870.7,69248979.09,79546608.75,149183320,35234897.16,204113640.96,151062509.01,156668065.64,141146033.35,83212323.42,128946259.68,115397095
20150331,329834015,177142391.15,356548650,158642052,197381296.4,724773393.64,106470340,221279789.4,48511545.01,92365302.76,105032287.36,213622219.86,279724336,104795539.15,163139333.64,178267163.07,93651435.36,225861201.54,265107377.5,68864605.73,79342656.12,148282340,34749629.97,202077491.04,148533032.34,156359799.68,140507940.975,81883679.37,128455297.68,112812581.55
20150401,330361360,177710295.24,354283517.4,157337322.43576,197024062.2,723724939,105307524,222305983.2,48275139.88,91907184.82,104024514.88,210797666.22,275692524,103251718.84,161379653.98,179201922.72,92546148.51,223512364.35,260143664.9,68329228.55,80165333.43,146101020,34421833.59,203282559.36,147905483.22,156663293.08,139104137.75,83739424.83,128003612.64,112011477.75
20150402,326872770,177710295.24,353612367,158592630.8,197945350.4,729957419.36,106406748.5,222603039.3,48638840.08,93772379.29,104472413.76,211104682.92,277054998.4,103429607.6,162060820.3,180153678,92104033.77,225637502.76,260208128.7,68404730.46,80947384.7,146101020,34624296.06,205568033.76,149748908.76,157391677.24,138491569.07,83443202.55,128219635.92,111925645.2
20150406,337054585,179850856.81,357093959.7,160164215.07576,201028845.6,741781657.8,107069917,224250350.4,49396548.83,95997523.57,105627146.06158,211718716.32,275720329.6,105132257.16,162287875.74,179524839.69,92536537.32,225451087.11,261046158.1,68452777.13,80876289.13,147191680,34749629.97,206232899.04,150284940.3,156663293.08,138950995.58,83661013.05,128042889.6,112249901.5
20150407,336932890,179151897.93,359694667.5,160193887.56424,204074737.2,733976495.48,106733790.5,222495018.9,48820690.18,95201270.96,106599940.43842,212087136.36,278334056,105596044.92317,162997423.99,179184927.09,92603815.65,226867846.05,259466795,68370411.41,79555942.83,148234920,34495748.46,204736952.16,149435134.2,156359799.68,139818801.21,83809124.19,129221198.4,111916108.25
20150408,336040460,178627678.77,352605641.4,159976434.28424,200539998.8,731588348.8,107051748,223521212.7,48760073.48,95637573.76,107327769.12,212701169.76,278500889.6,105634157.59,162202729.95,180765520.68,93084375.15,227613508.65,261175085.7,69214660.04,79921577.19,148472020,34495748.46,204155195.04,151121672.46,157482725.26,140635559.45,83883179.76,130595892,112717212.05
20150409,336527240,179326637.65,355080508.5,160460752.16,201085251,737180106.88,107088086,223845273.9,48905553.56,101025913.34,107369759.64,215095900.02,281754144.8,105964516.07683,162997423.99,181462341.51,92796039.45,229179400.11,260562679.6,69132294.32,80398933.16,148140080,34482893.7,203656546.08,149788130.58,158211109.42,141018414.875,84898176.69,130478061.12,113060542.25
20150410,338474360,178583993.84,358897676.4,160974732.64,201010043.8,732385533.8,107614987,225087508.5,50069394.2,100371459.14,108041607.96,217613436.96,283783953.6,106142417.54317,162486549.25,181768262.85,93997438.2,230036912.1,259950273.5,68617508.57,80835663.09,151412060,34595372.85,204529181.76,150664084.56,159121589.62,143136881.56,85224892.44,130281676.32,113489705
20150413,338798880,177797665.1,357974844.6,160500289.12,200239170,730944964.3,106661114.5,225303549.3,49790557.38,100033324.47,107243795.07842,215464320.06,279585308,105360971.28,161010688.89,181020455.13,93651435.36,231416387.91,258789925.1,68137041.87,80510654.77,150463660,34666074.03,203781208.32,149618169.36,159819624.44,142830597.22,85198755.18,128848067.28,113842572.15
20150414,337906450,176967651.43,363385994.7,160421215.2,204638791.2,727775711.4,106915480.5,225762636,50311861,100327828.86,107222799.81842,215095900.02,279501891.2,105456275.18317,163934027.68,181275389.58,93785992.02,235032851.52,258338678.5,68315500.93,80734097.99,149325580,34640364.51,204362965.44,149108285.7,160032069.82,141962791.59,86130984.12,128690959.44,114367104.4
20150415,342814815,176487117.2,369468295.2,162230031.12,207590673.8,730541604.84,107079001.5,225519590.1,51621181.72,99847895.78,106676909.06158,216201160.14,279724336,105742161.48,165892380.85,181819249.74,92690316.36,239394977.73,257017170.6,68521415.23,80998167.25,155679860,34733561.52,205235601.12,148323849.3,161488838.14,144208876.75,87603387.45621,128985536.64,111887497.4
20150416,341056482,177360815.8,368000153.7,161241607.12,207120628.8,727026615.26,106724706,225492585,51124124.78,97644566.64,106354988.74,216078353.46,277472082.4,105392737.13,164161083.12,183722760.3,91911809.97,237903652.53,255405575.6,68569461.9,82176322.41,155869540,34923169.23,204736952.16,148219257.78,163947134.68,145995535.4,87215684.76621,128926621.2,115969312
